縣市,年度,服務類別,服務子類別,CMS 等級,性別,人數
新北市,2022,照顧服務,家庭托顧,合計,男,15
新北市,2022,照顧服務,家庭托顧,合計,女,31
新北市,2022,照顧服務,家庭托顧,第2級,計,2
新北市,2022,照顧服務,家庭托顧,第2級,男,2
新北市,2022,照顧服務,家庭托顧,第2級,女,0
新北市,2022,照顧服務,家庭托顧,第3級,計,2
新北市,2022,照顧服務,家庭托顧,第3級,男,1
新北市,2022,照顧服務,家庭托顧,第3級,女,1
新北市,2022,照顧服務,家庭托顧,第4級,計,8
新北市,2022,照顧服務,家庭托顧,第4級,男,2
新北市,2022,照顧服務,家庭托顧,第4級,女,6
新北市,2022,照顧服務,家庭托顧,第5級,計,6
新北市,2022,照顧服務,家庭托顧,第5級,男,1
新北市,2022,照顧服務,家庭托顧,第5級,女,5
新北市,2022,照顧服務,家庭托顧,第6級,計,12
新北市,2022,照顧服務,家庭托顧,第6級,男,3
新北市,2022,照顧服務,家庭托顧,第6級,女,9
新北市,2022,照顧服務,家庭托顧,第7級,計,12
新北市,2022,照顧服務,家庭托顧,第7級,男,5
新北市,2022,照顧服務,家庭托顧,第7級,女,7
新北市,2022,照顧服務,家庭托顧,第8級,計,4
新北市,2022,照顧服務,家庭托顧,第8級,男,1
新北市,2022,照顧服務,家庭托顧,第8級,女,3
新北市,2023,照顧服務,人次總計,合計,計,44072
新北市,2023,照顧服務,人次總計,合計,男,18634
新北市,2023,照顧服務,人次總計,合計,女,25438
新北市,2023,照顧服務,人次總計,第2級,計,8037
新北市,2023,照顧服務,人次總計,第2級,男,2822
新北市,2023,照顧服務,人次總計,第2級,女,5215
新北市,2023,照顧服務,人次總計,第3級,計,8700
新北市,2023,照顧服務,人次總計,第3級,男,3379
新北市,2023,照顧服務,人次總計,第3級,女,5321
新北市,2023,照顧服務,人次總計,第4級,計,8696
新北市,2023,照顧服務,人次總計,第4級,男,3710
新北市,2023,照顧服務,人次總計,第4級,女,4986
新北市,2023,照顧服務,人次總計,第5級,計,6269
新北市,2023,照顧服務,人次總計,第5級,男,3022
新北市,2023,照顧服務,人次總計,第5級,女,3247
新北市,2023,照顧服務,人次總計,第6級,計,4186
新北市,2023,照顧服務,人次總計,第6級,男,1889
新北市,2023,照顧服務,人次總計,第6級,女,2297
新北市,2023,照顧服務,人次總計,第7級,計,3913
新北市,2023,照顧服務,人次總計,第7級,男,1822
新北市,2023,照顧服務,人次總計,第7級,女,2091
新北市,2023,照顧服務,人次總計,第8級,計,4271
新北市,2023,照顧服務,人次總計,第8級,男,1990
新北市,2023,照顧服務,人次總計,第8級,女,2281
新北市,2023,照顧服務,居家服務,合計,計,41715
新北市,2023,照顧服務,居家服務,合計,男,17817
新北市,2023,照顧服務,居家服務,合計,女,23898
新北市,2023,照顧服務,居家服務,第2級,計,7590
新北市,2023,照顧服務,居家服務,第2級,男,2703
新北市,2023,照顧服務,居家服務,第2級,女,4887
新北市,2023,照顧服務,居家服務,第3級,計,8159
新北市,2023,照顧服務,居家服務,第3級,男,3201
新北市,2023,照顧服務,居家服務,第3級,女,4958
新北市,2023,照顧服務,居家服務,第4級,計,8095
新北市,2023,照顧服務,居家服務,第4級,男,3503
新北市,2023,照顧服務,居家服務,第4級,女,4592
新北市,2023,照顧服務,居家服務,第5級,計,5896
新北市,2023,照顧服務,居家服務,第5級,男,2856
新北市,2023,照顧服務,居家服務,第5級,女,3040
新北市,2023,照顧服務,居家服務,第6級,計,3852
新北市,2023,照顧服務,居家服務,第6級,男,1765
新北市,2023,照顧服務,居家服務,第6級,女,2087
新北市,2023,照顧服務,居家服務,第7級,計,3874
新北市,2023,照顧服務,居家服務,第7級,男,1805
新北市,2023,照顧服務,居家服務,第7級,女,2069
新北市,2023,照顧服務,居家服務,第8級,計,4249
新北市,2023,照顧服務,居家服務,第8級,男,1984
新北市,2023,照顧服務,居家服務,第8級,女,2265
新北市,2023,照顧服務,日間照顧服務,合計,計,3977
新北市,2023,照顧服務,日間照顧服務,合計,男,1403
新北市,2023,照顧服務,日間照顧服務,合計,女,2574
新北市,2023,照顧服務,日間照顧服務,第2級,計,651
新北市,2023,照顧服務,日間照顧服務,第2級,男,182
新北市,2023,照顧服務,日間照顧服務,第2級,女,469
新北市,2023,照顧服務,日間照顧服務,第3級,計,867
新北市,2023,照顧服務,日間照顧服務,第3級,男,279
新北市,2023,照顧服務,日間照顧服務,第3級,女,588
新北市,2023,照顧服務,日間照顧服務,第4級,計,1000
新北市,2023,照顧服務,日間照顧服務,第4級,男,343
新北市,2023,照顧服務,日間照顧服務,第4級,女,657
新北市,2023,照顧服務,日間照顧服務,第5級,計,636
新北市,2023,照顧服務,日間照顧服務,第5級,男,285
新北市,2023,照顧服務,日間照顧服務,第5級,女,351
新北市,2023,照顧服務,日間照顧服務,第6級,計,623
新北市,2023,照顧服務,日間照顧服務,第6級,男,233
新北市,2023,照顧服務,日間照顧服務,第6級,女,390
新北市,2023,照顧服務,日間照顧服務,第7級,計,137
新北市,2023,照顧服務,日間照顧服務,第7級,男,51
新北市,2023,照顧服務,日間照顧服務,第7級,女,86
新北市,2023,照顧服務,日間照顧服務,第8級,計,63
新北市,2023,照顧服務,日間照顧服務,第8級,男,30
新北市,2023,照顧服務,日間照顧服務,第8級,女,33
新北市,2023,照顧服務,家庭托顧,合計,計,45
新北市,2023,照顧服務,家庭托顧,合計,男,12
新北市,2023,照顧服務,家庭托顧,合計,女,33
新北市,2023,照顧服務,家庭托顧,第2級,計,2
新北市,2023,照顧服務,家庭托顧,第2級,男,1
新北市,2023,照顧服務,家庭托顧,第2級,女,1
新北市,2023,照顧服務,家庭托顧,第3級,計,3
新北市,2023,照顧服務,家庭托顧,第3級,男,1
新北市,2023,照顧服務,家庭托顧,第3級,女,2
新北市,2023,照顧服務,家庭托顧,第4級,計,7
新北市,2023,照顧服務,家庭托顧,第4級,男,1
新北市,2023,照顧服務,家庭托顧,第4級,女,6
新北市,2023,照顧服務,家庭托顧,第5級,計,7
新北市,2023,照顧服務,家庭托顧,第5級,男,1
新北市,2023,照顧服務,家庭托顧,第5級,女,6
新北市,2023,照顧服務,家庭托顧,第6級,計,13
新北市,2023,照顧服務,家庭托顧,第6級,男,5
新北市,2023,照顧服務,家庭托顧,第6級,女,8
新北市,2023,照顧服務,家庭托顧,第7級,計,8
新北市,2023,照顧服務,家庭托顧,第7級,男,3
新北市,2023,照顧服務,家庭托顧,第7級,女,5
新北市,2023,照顧服務,家庭托顧,第8級,計,5
新北市,2023,照顧服務,家庭托顧,第8級,男,0
新北市,2023,照顧服務,家庭托顧,第8級,女,5
新北市,2024,照顧服務,人次總計,合計,計,49829
新北市,2024,照顧服務,人次總計,合計,男,20754
新北市,2024,照顧服務,人次總計,合計,女,29075
新北市,2024,照顧服務,人次總計,第2級,計,9639
新北市,2024,照顧服務,人次總計,第2級,男,3375
新北市,2024,照顧服務,人次總計,第2級,女,6264
新北市,2024,照顧服務,人次總計,第3級,計,10687
新北市,2024,照顧服務,人次總計,第3級,男,4114
新北市,2024,照顧服務,人次總計,第3級,女,6573
新北市,2024,照顧服務,人次總計,第4級,計,10063
新北市,2024,照顧服務,人次總計,第4級,男,4212
新北市,2024,照顧服務,人次總計,第4級,女,5851
新北市,2024,照顧服務,人次總計,第5級,計,6747
新北市,2024,照顧服務,人次總計,第5級,男,3243
新北市,2024,照顧服務,人次總計,第5級,女,3504
新北市,2024,照顧服務,人次總計,第6級,計,4354
新北市,2024,照顧服務,人次總計,第6級,男,2022
