年度,服務類別,服務子類別,CMS 等級,性別,人數
2022,交通接送服務,,第2級,男,1866
2022,交通接送服務,,第2級,女,3069
2022,交通接送服務,,第3級,男,2295
2022,交通接送服務,,第3級,女,3252
2022,交通接送服務,,第4級,男,3368
2022,交通接送服務,,第4級,女,4200
2022,交通接送服務,,第5級,男,2989
2022,交通接送服務,,第5級,女,3178
2022,交通接送服務,,第6級,男,2030
2022,交通接送服務,,第6級,女,2379
2022,交通接送服務,,第7級,男,2028
2022,交通接送服務,,第7級,女,2420
2022,交通接送服務,,第8級,男,2483
2022,交通接送服務,,第8級,女,2824
2023,交通接送服務,,第2級,男,2635
2023,交通接送服務,,第2級,女,4352
2023,交通接送服務,,第3級,男,3387
2023,交通接送服務,,第3級,女,4754
2023,交通接送服務,,第4級,男,3942
2023,交通接送服務,,第4級,女,4916
2023,交通接送服務,,第5級,男,3392
2023,交通接送服務,,第5級,女,3613
2023,交通接送服務,,第6級,男,2031
2023,交通接送服務,,第6級,女,2519
2023,交通接送服務,,第7級,男,2337
2023,交通接送服務,,第7級,女,2770
2023,交通接送服務,,第8級,男,2689
2023,交通接送服務,,第8級,女,3204
2024,交通接送服務,,第2級,男,3071
2024,交通接送服務,,第2級,女,5156
2024,交通接送服務,,第3級,男,4031
2024,交通接送服務,,第3級,女,5783
2024,交通接送服務,,第4級,男,4366
2024,交通接送服務,,第4級,女,5601
2024,交通接送服務,,第5級,男,3565
2024,交通接送服務,,第5級,女,3962
2024,交通接送服務,,第6級,男,2134
2024,交通接送服務,,第6級,女,2529
2024,交通接送服務,,第7級,男,2399
2024,交通接送服務,,第7級,女,2926
2024,交通接送服務,,第8級,男,2632
2024,交通接送服務,,第8級,女,3263
